127.0.0.1 - - [05/Jul/2020:23:12:11 +0900] "GET / HTTP/1.1" 200 164
0:0:0:0:0:0:0:1 - - [05/Jul/2020:23:35:37 +0900] "GET /board/list HTTP/1.1" 200 61106
0:0:0:0:0:0:0:1 - - [05/Jul/2020:23:35:37 +0900] "GET /resources/vendor/metisMenu/metisMenu.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2020:23:35:37 +0900] "GET /resources/vendor/datatables-responsive/dataTables.responsive.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2020:23:35:37 +0900] "GET /resources/vendor/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2020:23:35:37 +0900] "GET /resources/dist/css/sb-admin-2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2020:23:35:37 +0900] "GET /resources/vendor/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2020:23:35:37 +0900] "GET /resources/vendor/metisMenu/metisMenu.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2020:23:35:37 +0900] "GET /resources/vendor/datatables/js/jquery.dataTables.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2020:23:35:37 +0900] "GET /resources/vendor/datatables-plugins/dataTables.bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2020:23:35:37 +0900] "GET /resources/vendor/datatables-plugins/dataTables.bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2020:23:35:37 +0900] "GET /resources/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2020:23:35:37 +0900] "GET /resources/vendor/datatables-responsive/dataTables.responsive.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2020:23:35:37 +0900] "GET /resources/vendor/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2020:23:35:37 +0900] "GET /resources/dist/js/sb-admin-2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2020:23:35:37 +0900] "GET /resources/vendor/font-awesome/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2020:23:35:40 +0900] "GET /board/list HTTP/1.1" 200 61106
0:0:0:0:0:0:0:1 - - [05/Jul/2020:23:37:06 +0900] "GET /board/list HTTP/1.1" 200 61252
0:0:0:0:0:0:0:1 - - [05/Jul/2020:23:47:17 +0900] "GET /board/list HTTP/1.1" 200 61261
0:0:0:0:0:0:0:1 - - [05/Jul/2020:23:47:17 +0900] "GET /resources/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2020:23:47:17 +0900] "GET /resources/vendor/metisMenu/metisMenu.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2020:23:47:17 +0900] "GET /resources/vendor/datatables-responsive/dataTables.responsive.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2020:23:47:17 +0900] "GET /resources/dist/css/sb-admin-2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2020:23:47:17 +0900] "GET /resources/vendor/font-awesome/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jul/2020:23:47:17 +0900] "GET /resources/vendor/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
